fee_code,fee_name_cn,fee_item_raw,market_reference_raw,amount_min,amount_max,amount_mid_reference,currency,unit,applicable_scope,effective_period_label,charging_reason,amount_basis,source_type,source_file,data_quality_level,record_status,is_reference,is_simulated,can_enter_real_cost_model,can_enter_demo_cost_model,governance_note
BAF,燃油附加费,BAF 燃油附加费,450 – 550,450.0,550.0,500.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,2026年5月底行情,船用燃油价格波动大，船公司用来动态弥补航行成本，油价越高、绕航越远就越高。,market_range_midpoint_for_reference,user_provided_market_reference_text,output/附加费明细.txt,C_market_reference,reference_ready_for_demo_costing_not_official_tariff,True,False,False,True,用户提供的2026年5月底行情参考表，未附官方船司报价单/合同/网页证据；用于演示测算和参数敏感性分析，不作为A/B层真实费率。
PSS,旺季附加费,PSS 旺季附加费,300 – 1000 (6月暂未普收),300.0,1000.0,650.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,2026年5月底行情,旺季（7-8月）货量大、舱位紧，船公司趁机上调的“供求调节费”，用来赚取更高利润。,market_range_midpoint_for_reference,user_provided_market_reference_text,output/附加费明细.txt,C_market_reference,reference_ready_for_demo_costing_not_official_tariff,True,False,False,True,用户提供的2026年5月底行情参考表，未附官方船司报价单/合同/网页证据；用于演示测算和参数敏感性分析，不作为A/B层真实费率。
THC,码头操作费,THC 码头操作费,190 – 220 (中国港口折合),190.0,220.0,205.0,USD,USD/FEU_equiv,亚欧/美线主流船公司；2026年5月底市场参考行情,2026年5月底行情,注意：你表里填高了。 这是码头收的装卸、吊装、港内拖运成本，国内习惯按人民币结算。,market_range_midpoint_for_reference,user_provided_market_reference_text,output/附加费明细.txt,C_market_reference,reference_ready_for_demo_costing_not_official_tariff,True,False,False,True,用户提供的2026年5月底行情参考表，未附官方船司报价单/合同/网页证据；用于演示测算和参数敏感性分析，不作为A/B层真实费率。
港口拥堵附加费,,港口拥堵附加费,50 – 250 (部分中转港有),50.0,250.0,150.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,2026年5月底行情,因新加坡、德班等港口拥堵，船公司为弥补等泊造成的船期损失和空驶成本而加收。,market_range_midpoint_for_reference,user_provided_market_reference_text,output/附加费明细.txt,C_market_reference,reference_ready_for_demo_costing_not_official_tariff,True,False,False,True,用户提供的2026年5月底行情参考表，未附官方船司报价单/合同/网页证据；用于演示测算和参数敏感性分析，不作为A/B层真实费率。
EBS,紧急燃油附加费,EBS 紧急燃油附加费,50 – 200 (部分航线),50.0,200.0,125.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,2026年5月底行情,油价短期疯涨，BAF调价滞后时的临时补救措施，现在很多已并入BAF项下。,market_range_midpoint_for_reference,user_provided_market_reference_text,output/附加费明细.txt,C_market_reference,reference_ready_for_demo_costing_not_official_tariff,True,False,False,True,用户提供的2026年5月底行情参考表，未附官方船司报价单/合同/网页证据；用于演示测算和参数敏感性分析，不作为A/B层真实费率。
GRI,综合费率上涨附加费,GRI 综合费率上涨附加费,200 – 1000 (突然普涨时),200.0,1000.0,600.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,2026年5月底行情,船公司单方面宣布“基础运价上调”的一个名头，背后是舱位极度紧张时的纯涨价。,market_range_midpoint_for_reference,user_provided_market_reference_text,output/附加费明细.txt,C_market_reference,reference_ready_for_demo_costing_not_official_tariff,True,False,False,True,用户提供的2026年5月底行情参考表，未附官方船司报价单/合同/网页证据；用于演示测算和参数敏感性分析，不作为A/B层真实费率。
CIC,集装箱不平衡附加费,CIC 集装箱不平衡附加费,100 – 350,100.0,350.0,225.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,2026年5月底行情,某地进口货少出口货多，箱子只出不进，船公司为调运空箱回来收的成本。,market_range_midpoint_for_reference,user_provided_market_reference_text,output/附加费明细.txt,C_market_reference,reference_ready_for_demo_costing_not_official_tariff,True,False,False,True,用户提供的2026年5月底行情参考表，未附官方船司报价单/合同/网页证据；用于演示测算和参数敏感性分析，不作为A/B层真实费率。
WRS,战争风险附加费,WRS 战争风险附加费,50 – 200 (部分航线),50.0,200.0,125.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,2026年5月底行情,行经红海、波斯湾等战争风险海域，为覆盖保险和安保费用而强制征收。,market_range_midpoint_for_reference,user_provided_market_reference_text,output/附加费明细.txt,C_market_reference,reference_ready_for_demo_costing_not_official_tariff,True,False,False,True,用户提供的2026年5月底行情参考表，未附官方船司报价单/合同/网页证据；用于演示测算和参数敏感性分析，不作为A/B层真实费率。
PCS,巴拿马运河附加费,PCS 巴拿马运河附加费,200 – 350 (若通行运河),200.0,350.0,275.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,2026年5月底行情,集装箱船过巴拿马运河需要交高额通行费，干旱限行时还会更贵。,market_range_midpoint_for_reference,user_provided_market_reference_text,output/附加费明细.txt,C_market_reference,reference_ready_for_demo_costing_not_official_tariff,True,False,False,True,用户提供的2026年5月底行情参考表，未附官方船司报价单/合同/网页证据；用于演示测算和参数敏感性分析，不作为A/B层真实费率。
LSS,低硫燃油附加费,LSS 低硫燃油附加费,已在BAF中包含,,,,,included_in_BAF,亚欧/美线主流船公司；2026年5月底市场参考行情,2026年5月底行情,为了执行环保规定换用贵价低硫油产生的成本，现在多数船公司已打包进BAF。,included_in_baf_or_not_separately_charged,user_provided_market_reference_text,output/附加费明细.txt,C_market_reference,reference_ready_for_demo_costing_not_official_tariff,True,False,False,True,用户提供的2026年5月底行情参考表，未附官方船司报价单/合同/网页证据；用于演示测算和参数敏感性分析，不作为A/B层真实费率。
