date,scfi_index,europe_usd_teu,mediterranean_usd_teu,us_west_usd_feu,us_east_usd_feu,source_type,source_url,source_note,data_quality_level,is_estimated,record_status,missing_reason,demo_scfi_index,demo_europe_usd_teu,demo_mediterranean_usd_teu,demo_us_west_usd_feu,demo_us_east_usd_feu,demo_data_quality_level,demo_record_status,demo_notes
2025-11-28,1403.13,1404.0,2232.0,1632.0,2428.0,batch03_04_public_excerpt,source_urls_to_be_confirmed_from_search_cache,由batch-03/04公开摘录批量补入；按公开转载B级或候选C级处理。,B,False,collected_public_excerpt,原始URL/截图仍待补强,1403.13,1404.0,2232.0,1632.0,2428.0,B,collected_public_excerpt,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2025-12-05,1397.63,1400.0,2300.0,1550.0,2315.0,batch03_04_public_excerpt,source_urls_to_be_confirmed_from_search_cache,由batch-03/04公开摘录批量补入；按公开转载B级或候选C级处理。,B,False,collected_public_excerpt,原始URL/截图仍待补强,1397.63,1400.0,2300.0,1550.0,2315.0,B,collected_public_excerpt,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2025-12-12,,,,,,placeholder,,占位行，不得作为真实数据参与分析,PENDING,False,placeholder_pending,未搜到可保存正文/截图证据的公开数据；保留占位，待逐周补采,1475.275,1466.5,2566.5,1771.0,2580.5,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2025-12-19,1552.92,1533.0,2833.0,1992.0,2846.0,batch03_04_public_excerpt,source_urls_to_be_confirmed_from_search_cache,由batch-03/04公开摘录批量补入；按公开转载B级或候选C级处理。,B,False,collected_public_excerpt,原始URL/截图仍待补强,1552.92,1533.0,2833.0,1992.0,2846.0,B,collected_public_excerpt,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2025-12-26,1656.32,1690.0,3143.0,2188.0,3033.0,batch03_04_public_excerpt,source_urls_to_be_confirmed_from_search_cache,由batch-03/04公开摘录批量补入；按公开转载B级或候选C级处理。,B,False,collected_public_excerpt,原始URL/截图仍待补强,1656.32,1690.0,3143.0,2188.0,3033.0,B,collected_public_excerpt,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-01-02,,,,,,official_publication_calendar,official_calendar_url_to_be_filled,官方发布日程未列该周发布，视作非缺失停刊周,A_publication_suspended,False,official_publication_suspended,元旦假期/发布日程停刊，无数值,1588.406,1666.25,2999.2,2162.0,2998.75,A_publication_suspended_no_numeric,official_publication_suspended,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-01-09,,,,,,placeholder,,占位行，不得作为真实数据参与分析,PENDING,False,placeholder_pending,未搜到可保存正文/截图证据的公开数据；保留占位，待逐周补采,1520.492,1642.5,2855.4,2136.0,2964.5,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-01-16,,,,,,placeholder,,占位行，不得作为真实数据参与分析,PENDING,False,placeholder_pending,未搜到可保存正文/截图证据的公开数据；保留占位，待逐周补采,1452.578,1618.75,2711.6,2110.0,2930.25,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-01-23,,1595.0,,2084.0,2896.0,batch03_04_public_excerpt,https://www.google.com/search?q=%222026%22+%221%E6%9C%8823%E6%97%A5%22+SCFI+1595+2084+2896,由batch-03/04公开摘录批量补入；按公开转载B级或候选C级处理。,B,False,collected_public_excerpt,,1384.664,1595.0,2567.8,2084.0,2896.0,B,collected_public_excerpt,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-01-30,1316.75,1418.0,2424.0,1867.0,2605.0,batch03_04_public_excerpt,https://www.google.com/search?q=%222026%E5%B9%B41%E6%9C%8830%E6%97%A5%22+SCFI+1316.75+1418+1867+2605;https://www.google.com/search?q=%222026%E5%B9%B41%E6%9C%8830%E6%97%A5%22+SCFI+1316.75+2424,由batch-03/04公开摘录批量补入；按公开转载B级或候选C级处理。,B,False,collected_public_excerpt,,1316.75,1418.0,2424.0,1867.0,2605.0,B,collected_public_excerpt,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-02-06,1266.56,1403.0,,1801.0,2530.0,batch03_04_public_excerpt,https://www.google.com/search?q=%222026%E5%B9%B42%E6%9C%886%E6%97%A5%22+SCFI+1266.56+1403+1801+2530;https://www.google.com/search?q=%222026%E5%B9%B42%E6%9C%886%E6%97%A5%22+SCFI+1403;https://www.google.com/search?q=%222026%E5%B9%B42%E6%9C%886%E6%97%A5%22+SCFI+1801;https://www.google.com/search?q=%222026%E5%B9%B42%E6%9C%886%E6%97%A5%22+SCFI+2530,由batch-03/04公开摘录批量补入；按公开转载B级或候选C级处理。,B,False,collected_public_excerpt,,1266.56,1403.0,2300.5,1801.0,2530.0,B,collected_public_excerpt,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-02-13,1251.46,1361.0,2177.0,1787.0,2524.0,batch03_04_public_excerpt,https://www.google.com/search?q=%222026%E5%B9%B42%E6%9C%8813%E6%97%A5%22+SCFI+1251.46+1361+1787+2524;https://www.google.com/search?q=%222026%E5%B9%B42%E6%9C%8813%E6%97%A5%22+SCFI+1361;https://www.google.com/search?q=%222026%E5%B9%B42%E6%9C%8813%E6%97%A5%22+SCFI+1787;https://www.google.com/search?q=%222026%E5%B9%B42%E6%9C%8813%E6%97%A5%22+SCFI+2177;https://www.google.com/search?q=%222026%E5%B9%B42%E6%9C%8813%E6%97%A5%22+SCFI+2524,由batch-03/04公开摘录批量补入；按公开转载B级或候选C级处理。,B,False,collected_public_excerpt,,1251.46,1361.0,2177.0,1787.0,2524.0,B,collected_public_excerpt,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-02-20,,,,,,placeholder,,占位行，不得作为真实数据参与分析,PENDING,False,placeholder_pending,未搜到可保存正文/截图证据的公开数据；保留占位，待逐周补采,1366.1825,1425.25,2211.8888888888887,1902.5,2670.75,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-02-27,,,,,,placeholder,,占位行，不得作为真实数据参与分析,PENDING,False,placeholder_pending,未搜到可保存正文/截图证据的公开数据；保留占位，待逐周补采,1480.905,1489.5,2246.777777777778,2018.0,2817.5,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-03-06,,,,,,placeholder,,占位行，不得作为真实数据参与分析,PENDING,False,placeholder_pending,未搜到可保存正文/截图证据的公开数据；保留占位，待逐周补采,1595.6275,1553.75,2281.6666666666665,2133.5,2964.25,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-03-13,1710.35,1618.0,,2249.0,3111.0,legacy_public_clue_needs_source_recheck,https://caifuhao.eastmoney.com/news/20260317070801085335340,东方财富财富号转载，称根据上海航交所3月13日发布数据,B_pending_source_recheck,False,legacy_value_pending_source_recheck,旧记录已有数值但来源证据链待回查；按新规则保留为待复核B-线索,1710.35,1618.0,2316.5555555555557,2249.0,3111.0,B_pending_source_recheck,legacy_value_pending_source_recheck,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
