source,category,reason,included_path
..\canglu-radar\00-control\batch-map.md,00-control,项目批次/模块映射,00-control\batch-map.md
..\canglu-radar\00-control\qa-checklist.md,00-control,质量检查清单,00-control\qa-checklist.md
..\canglu-radar\00-control\data-governance\README.md,00-control/data-governance,数据采集与分层治理规则入口,00-control\data-governance\README.md
..\canglu-radar\00-control\data-governance\chart-derived-index-c-rules.md,00-control/data-governance,C级图表反推指数治理规则,00-control\data-governance\chart-derived-index-c-rules.md
..\canglu-radar\01-raw-data\freight-index\原始_SCFI运价指数.csv,01-raw-data/freight-index,SCFI真实/公开线索主输入,01-raw-data\freight-index\原始_SCFI运价指数.csv
..\canglu-radar\01-raw-data\freight-index\原始_航运指数_26周完整占位长表.csv,01-raw-data/freight-index,26周航运指数骨架长表,01-raw-data\freight-index\原始_航运指数_26周完整占位长表.csv
..\canglu-radar\01-raw-data\exchange-rate\usd-cny-weekly-aligned.csv,01-raw-data/exchange-rate,USD/CNY周度对齐表,01-raw-data\exchange-rate\usd-cny-weekly-aligned.csv
..\canglu-radar\01-raw-data\exchange-rate\usd-cny-weekly-from-screenshot.csv,01-raw-data/exchange-rate,汇率截图OCR周度结构化结果，不含截图证据,01-raw-data\exchange-rate\usd-cny-weekly-from-screenshot.csv
..\canglu-radar\01-raw-data\carrier-announcements\carrier-announcements-natural-week-events.csv,01-raw-data/carrier-announcements,船司公告自然周事件变量输入,01-raw-data\carrier-announcements\carrier-announcements-natural-week-events.csv
..\canglu-radar\01-raw-data\surcharge-rules\surcharge-cost-model-reference-input-2026-05.csv,01-raw-data/surcharge-rules,2026-05附加费C_market_reference结构化输入,01-raw-data\surcharge-rules\surcharge-cost-model-reference-input-2026-05.csv
..\canglu-radar\01-raw-data\collection-drafts\chart-evidence\chart-derived-index-records.csv,01-raw-data/c-level-reference,C级图表推导指数结构化记录，纳入参考层,01-raw-data\c-level-reference\chart-derived-index-records.csv
..\canglu-radar\02-governance\surcharge-scenario-cost-model.md,02-governance,场景化附加费模型治理说明,02-governance\surcharge-scenario-cost-model.md
..\canglu-radar\02-processed-data\surcharge-scenario-rules-2026-05.csv,02-processed-data/surcharge,场景化附加费规则表,02-processed-data\surcharge\surcharge-scenario-rules-2026-05.csv
..\canglu-radar\02-processed-data\surcharge-scenario-definitions-2026-05.csv,02-processed-data/surcharge,场景定义表,02-processed-data\surcharge\surcharge-scenario-definitions-2026-05.csv
..\canglu-radar\02-processed-data\surcharge-scenario-calculation-detail-2026-05.csv,02-processed-data/surcharge,附加费场景计算明细,02-processed-data\surcharge\surcharge-scenario-calculation-detail-2026-05.csv
..\canglu-radar\02-processed-data\surcharge-scenario-summary-2026-05.csv,02-processed-data/surcharge,附加费场景汇总,02-processed-data\surcharge\surcharge-scenario-summary-2026-05.csv
..\canglu-radar\02-processed-data\canglu-demo-cost-model-scenario-based.csv,02-processed-data/cost-model,场景化成本模型CSV,02-processed-data\cost-model\canglu-demo-cost-model-scenario-based.csv
..\canglu-radar\02-processed-data\canglu-demo-cost-model-scenario-based.xlsx,02-processed-data/cost-model,场景化成本模型Excel,02-processed-data\cost-model\canglu-demo-cost-model-scenario-based.xlsx
..\canglu-radar\05-presentation\CR-06_参赛展示PPT_storyboard.md,05-presentation,展示材料骨架,05-presentation\CR-06_参赛展示PPT_storyboard.md
..\canglu-radar\09-logs\run-log.md,09-logs,项目运行日志,09-logs\run-log.md
舱路雷达产品方案.txt,10-current-output-docs,产品方案文本，项目目录内无更完整同名版本,10-current-output-docs\舱路雷达产品方案.txt
canglu-radar-workplan.md,10-current-output-docs,当前项目工作计划,10-current-output-docs\canglu-radar-workplan.md
canglu-radar-handoff.md,10-current-output-docs,当前项目交接说明,10-current-output-docs\canglu-radar-handoff.md
canglu-radar-report.md,10-current-output-docs,当前阶段数据整理与指标报告,10-current-output-docs\canglu-radar-report.md
canglu-surcharge-scenario-update.md,10-current-output-docs,附加费场景化修正记录,10-current-output-docs\canglu-surcharge-scenario-update.md
canglu-data-quality-summary.csv,10-current-output-data,当前数据覆盖率与补全摘要,10-current-output-data\canglu-data-quality-summary.csv
canglu-freight-indicators-wide.csv,10-current-output-data,周度运价宽表指标,10-current-output-data\canglu-freight-indicators-wide.csv
canglu-scfi-demo-filled-long.csv,10-current-output-data,SCFI演示补全长表,10-current-output-data\canglu-scfi-demo-filled-long.csv
canglu-fx-weekly-demo-aligned.csv,10-current-output-data,汇率周度演示对齐表,10-current-output-data\canglu-fx-weekly-demo-aligned.csv
canglu-c-level-index-reference.csv,10-current-output-data,C级指数参考整理表,10-current-output-data\canglu-c-level-index-reference.csv
