fee_code,fee_name_cn,amount_min,amount_max,amount_mid_reference,currency,unit,applicable_scope,data_quality_level,can_enter_demo_cost_model,source_file,governance_note,cost_model_value_usd,cost_model_usage,fee_key,charge_basis,route_applicability,scenario_group,default_apply_base,default_apply_stress,default_apply_usec_panama,trigger_condition,stacking_rule,included_in,mutually_exclusive_with,exclude_reason,data_layer,usable_for_demo_cost_model,usable_for_official_rate
BAF,燃油附加费,450.0,550.0,500.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,C_market_reference,True,output/附加费明细.txt,scenario_rule_for_demo_only_not_official_rate; no simple summation,500.0,demo_reference_midpoint,BAF,FEU,ALL_MAIN_LANES,base,True,True,True,standard_fuel_surcharge,additive,,,,C_market_reference,True,False
PSS,旺季附加费,300.0,1000.0,650.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,C_market_reference,True,output/附加费明细.txt,scenario_rule_for_demo_only_not_official_rate; no simple summation,650.0,demo_reference_midpoint,PSS,FEU,ALL_MAIN_LANES_IF_PEAK,conditional_stress,False,True,True,peak_season_flag=true,conditional_additive,,,,C_market_reference,True,False
THC,码头操作费,190.0,220.0,205.0,USD,USD/FEU_equiv,亚欧/美线主流船公司；2026年5月底市场参考行情,C_market_reference,True,output/附加费明细.txt,scenario_rule_for_demo_only_not_official_rate; no simple summation,205.0,demo_reference_midpoint,THC,FEU_equiv,ALL_MAIN_LANES,base,True,True,True,terminal_handling_reference,additive_if_not_included_in_quote,,,,C_market_reference,True,False
港口拥堵附加费,,50.0,250.0,150.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,C_market_reference,True,output/附加费明细.txt,scenario_rule_for_demo_only_not_official_rate; no simple summation,150.0,demo_reference_midpoint,CONGESTION,FEU,CONGESTED_PORT_ONLY,conditional_stress,False,True,True,port_congestion_flag=true,conditional_additive,,,,C_market_reference,True,False
EBS,紧急燃油附加费,50.0,200.0,125.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,C_market_reference,True,output/附加费明细.txt,scenario_rule_for_demo_only_not_official_rate; no simple summation,125.0,demo_reference_midpoint,EBS,FEU,ALL_MAIN_LANES_IF_EMERGENCY_FUEL,conditional_stress,False,True,True,emergency_bunker_flag=true,conditional_additive_review_with_BAF,,,,C_market_reference,True,False
GRI,综合费率上涨附加费,200.0,1000.0,600.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,C_market_reference,True,output/附加费明细.txt,scenario_rule_for_demo_only_not_official_rate; no simple summation,600.0,demo_reference_midpoint,GRI,rate_adjustment,ALL_MAIN_LANES_IF_ANNOUNCED,excluded,False,False,False,rate_increase_announcement; may be reflected in base freight,not_surcharge_default,base_freight_rate_or_SCFi_movement,,treated_as_rate_adjustment_not_default_surcharge,C_market_reference,False,False
CIC,集装箱不平衡附加费,100.0,350.0,225.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,C_market_reference,True,output/附加费明细.txt,scenario_rule_for_demo_only_not_official_rate; no simple summation,225.0,demo_reference_midpoint,CIC,FEU,EQUIPMENT_IMBALANCE_LANES,conditional_stress,False,True,True,equipment_imbalance_flag=true,conditional_additive,,,,C_market_reference,True,False
WRS,战争风险附加费,50.0,200.0,125.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,C_market_reference,True,output/附加费明细.txt,scenario_rule_for_demo_only_not_official_rate; no simple summation,125.0,demo_reference_midpoint,WRS,FEU,WAR_RISK_REGION_ONLY,conditional_stress,False,True,True,war_risk_region_flag=true,conditional_additive,,,,C_market_reference,True,False
PCS,巴拿马运河附加费,200.0,350.0,275.0,USD,USD/FEU,亚欧/美线主流船公司；2026年5月底市场参考行情,C_market_reference,True,output/附加费明细.txt,scenario_rule_for_demo_only_not_official_rate; no simple summation,275.0,demo_reference_midpoint,PCS,FEU,USEC_PANAMA_PATH_ONLY,conditional_usec_panama,False,False,True,panama_path_flag=true,conditional_additive,,,,C_market_reference,True,False
LSS,低硫燃油附加费,,,,,included_in_BAF,亚欧/美线主流船公司；2026年5月底市场参考行情,C_market_reference,True,output/附加费明细.txt,scenario_rule_for_demo_only_not_official_rate; no simple summation,,skip_or_manual_confirm,LSS,included,ALL_MAIN_LANES,excluded,False,False,False,already_included_or_manual_confirm,included,BAF,,included_in_BAF_or_requires_manual_confirmation,C_market_reference,False,False
DOC,文件费,45.0,65.0,55.0,USD,USD/shipment,亚欧/美线主流船公司；2026年5月底市场参考行情,C_market_reference,True,output/附加费明细.txt,scenario_rule_for_demo_only_not_official_rate; no simple summation,55.0,demo_reference_midpoint,DOC,shipment,ALL_MAIN_LANES,base,True,True,True,per_shipment_documentation,allocate_to_feu_by_shipment_container_count,,,,C_market_reference,True,False
SEAL,封条费,8.0,15.0,11.5,USD,USD/container,亚欧/美线主流船公司；2026年5月底市场参考行情,C_market_reference,True,output/附加费明细.txt,scenario_rule_for_demo_only_not_official_rate; no simple summation,11.5,demo_reference_midpoint,SEAL,container,ALL_MAIN_LANES,base,True,True,True,per_container_seal,allocate_to_feu_by_container_count,,,,C_market_reference,True,False
AMS/ENS,申报费,35.0,50.0,42.5,USD,USD/shipment,亚欧/美线主流船公司；2026年5月底市场参考行情,C_market_reference,True,output/附加费明细.txt,scenario_rule_for_demo_only_not_official_rate; no simple summation,42.5,demo_reference_midpoint,AMS_ENS,shipment,US_AMS_OR_EU_ENS_BY_LANE,base,True,True,True,customs_manifest_by_lane,allocate_to_feu_by_shipment_container_count,,,,C_market_reference,True,False
设备交接单费,,15.0,30.0,22.5,USD,USD/container,亚欧/美线主流船公司；2026年5月底市场参考行情,C_market_reference,True,output/附加费明细.txt,scenario_rule_for_demo_only_not_official_rate; no simple summation,22.5,demo_reference_midpoint,EIR,container,ALL_MAIN_LANES,base,True,True,True,equipment_interchange_reference,allocate_to_feu_by_container_count,,,,C_market_reference,True,False
