date,natural_week_start,scenario_code,scenario_name_cn,route_group,base_freight_column,base_freight_usd_per_feu,surcharge_usd_per_feu,total_cost_usd_per_feu,fx_rate_demo,total_cost_cny_per_feu,fx_source_layer,fx_is_demo_filled,data_layer,official_rate_usable,scenario_description
2025-11-28,2025-11-24,BASE_USWC,美西基础场景,USWC,美西航线,1632.0,836.5,2468.5,6.9694,17203.96,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2025-12-05,2025-12-01,BASE_USWC,美西基础场景,USWC,美西航线,1550.0,836.5,2386.5,6.9694,16632.47,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2025-12-12,2025-12-08,BASE_USWC,美西基础场景,USWC,美西航线,1771.0,836.5,2607.5,6.9694,18172.71,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2025-12-19,2025-12-15,BASE_USWC,美西基础场景,USWC,美西航线,1992.0,836.5,2828.5,6.9694,19712.95,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2025-12-26,2025-12-22,BASE_USWC,美西基础场景,USWC,美西航线,2188.0,836.5,3024.5,6.9694,21078.95,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-01-02,2025-12-29,BASE_USWC,美西基础场景,USWC,美西航线,2162.0,836.5,2998.5,6.9694,20897.75,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-01-09,2026-01-05,BASE_USWC,美西基础场景,USWC,美西航线,2136.0,836.5,2972.5,6.9694,20716.54,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-01-16,2026-01-12,BASE_USWC,美西基础场景,USWC,美西航线,2110.0,836.5,2946.5,6.9694,20535.34,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-01-23,2026-01-19,BASE_USWC,美西基础场景,USWC,美西航线,2084.0,836.5,2920.5,6.9634,20336.61,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-01-30,2026-01-26,BASE_USWC,美西基础场景,USWC,美西航线,1867.0,836.5,2703.5,6.9494,18787.7,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
