week_no,natural_week_start,natural_week_end,target_representative_date,currency_pair,current_rate,current_status,verification_level,preferred_sources,collection_rule,recommended_query,notes,demo_rate,demo_data_quality_level,demo_record_status,demo_source,demo_notes
1,2026-05-18,2026-05-24,2026-05-22,USD/CNY,6.8373,weekly_representative_verified,A,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-05-22 USD CNY 中间价 国家外汇管理局 人民币汇率,,6.8373,A,weekly_representative_verified,official_SAFE,官方公开中间价；仅单日记录，尚未形成26周序列
2,2026-05-11,2026-05-17,2026-05-15,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-05-15 USD CNY 中间价 国家外汇管理局 人民币汇率,,7.18,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
3,2026-05-04,2026-05-10,2026-05-08,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-05-08 USD CNY 中间价 国家外汇管理局 人民币汇率,,7.1775,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
4,2026-04-27,2026-05-03,2026-05-01,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-05-01 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.175,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
5,2026-04-20,2026-04-26,2026-04-24,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-04-24 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.1605,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
6,2026-04-13,2026-04-19,2026-04-17,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-04-17 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.188,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
7,2026-04-06,2026-04-12,2026-04-10,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-04-10 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.1675,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
8,2026-03-30,2026-04-05,2026-04-03,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-04-03 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.165,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
9,2026-03-23,2026-03-29,2026-03-27,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-03-27 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.1625,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
10,2026-03-16,2026-03-22,2026-03-20,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-03-20 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.16,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
