week_no,natural_week_start,natural_week_end,target_representative_date,currency_pair,current_rate,current_status,verification_level,preferred_sources,collection_rule,recommended_query,notes,week_id,usd_cny_rate,source_date,source,record_status,source_note,evidence_file,ocr_review_file,selected_time_col
1,2026-05-18,2026-05-24,2026-05-22,USD/CNY,6.8373,weekly_representative_verified,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-05-22 USD CNY 中间价 国家外汇管理局 人民币汇率,,2026-W21,6.795,2026-05-22,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-02-review.md,20:00_or_rightmost_visible
2,2026-05-11,2026-05-17,2026-05-15,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-05-15 USD CNY 中间价 国家外汇管理局 人民币汇率,,2026-W20,6.8061,2026-05-15,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-02-review.md,20:00_or_rightmost_visible
3,2026-05-04,2026-05-10,2026-05-08,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-05-08 USD CNY 中间价 国家外汇管理局 人民币汇率,,2026-W19,6.8012,2026-05-08,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-02-review.md,20:00_or_rightmost_visible
4,2026-04-27,2026-05-03,2026-05-01,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-05-01 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W18,6.8288,2026-04-30,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-03-review.md,20:00_or_rightmost_visible
5,2026-04-20,2026-04-26,2026-04-24,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-04-24 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W17,6.833,2026-04-24,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-03-review.md,20:00_or_rightmost_visible
6,2026-04-13,2026-04-19,2026-04-17,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-04-17 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W16,6.8224,2026-04-17,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-03-review.md,20:00_or_rightmost_visible
7,2026-04-06,2026-04-12,2026-04-10,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-04-10 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W15,6.8283,2026-04-10,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-04-review.md,20:00_or_rightmost_visible
8,2026-03-30,2026-04-05,2026-04-03,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-04-03 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W14,6.8806,2026-04-03,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-04-review.md,20:00_or_rightmost_visible
9,2026-03-23,2026-03-29,2026-03-27,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-03-27 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W13,6.9125,2026-03-27,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-04-review.md,20:00_or_rightmost_visible
10,2026-03-16,2026-03-22,2026-03-20,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-03-20 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W12,6.8898,2026-03-20,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-05-review.md,20:00_or_rightmost_visible
